head.feature_extracter.backbone.conv1.weight	(64, 3, 7, 7)
head.feature_extracter.backbone.layer3.2.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.2.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.2.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.2.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.2.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.2.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.2.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.2.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.2.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.2.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.2.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.2.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.3.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.3.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.3.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.3.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.3.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.3.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.3.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.3.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.3.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.3.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.3.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.3.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.3.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.3.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.3.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.4.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.4.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.4.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.4.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.4.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.4.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.4.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.4.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.4.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.4.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.4.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.4.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.4.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.4.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.4.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.5.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.5.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.5.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.5.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.5.bn1._variance	(256,)
